 numero_reimpresiones, puntos_vta1anio_total, materia3, tirada, ejemplares_distribuidos_en_novedad, obsequios, pvp, reimpresiones, editorial, materia2, encuadernacion, venta_total, semanas_venta, coleccion, puntos_vta_total, materia1
653,25,,677,54,0,   13.46,26,UDLW10,,0,10,132,UDLW10003,36,
716,31,,734,87,0,   11.06,25,UDLW10,,0,1,136,UDLW10003,39,
561,38,,593,158,0,    9.13,23,UDLW10,,0,17,132,UDLW10003,44,
264,29,,299,110,0,   10.58,24,UDLW10,,0,-31,136,UDLW10003,37,
1037,61,,1048,127,0,   17.31,29,UDLW10,,0,116,136,UDLW10004,81,
418,30,,433,113,0,   13.46,26,UDLW10,,0,4,136,UDLW10004,41,
520,40,,544,130,0,   12.98,23,UDLW10,,0,24,135,UDLW10004,58,
878,33,,896,126,0,   14.42,27,UDLW10,,0,-27,134,UDLW10004,43,
3263,12,,3294,50,0,   21.15,28,UDLW10,,,1,105,UDLW10005,15,
1028,43,,1059,213,0,   22.60,30,UDLW10,,,219,136,UDLW10005,68,
2322,61,,2363,186,0,   16.35,31,UDLW10,,0,-122,134,UDLW10005,92,
17,7,,28,17,0,   22.12,1,UDLW11,,3,4,115,UDLW11002,9,112
53,7,,62,14,0,   24.04,1,UDLW11,,3,1,110,UDLW11002,10,111
55,8,,147,23,0,   17.31,1,UDLW11,,3,13,112,UDLW11003,10,112
0,115,,392,309,8,   24.04,0,UDLW11,126,2,141,60,UDLW11003,116,112
409,176,,725,430,9,   24.04,10,UDLW11,,3,688,130,UDLW11004,185,13
0,1,,21,2,0,   22.54,0,UDLW12,,,1,94,UDLW12001,2,13
19,12,,214,39,0,   20.19,4,UDLW12,,,56,120,UDLW12001,21,13
1,4,,87,14,0,   10.48,1,UDLW12,,,3,96,UDLW12001,6,13
23,12,,264,39,0,   12.98,4,UDLW12,,,12,96,UDLW12001,17,13
33,13,,235,38,0,   12.98,4,UDLW12,,,9,96,UDLW12001,14,13
61,6,,74,9,0,   20.10,3,UDLW12,,,7,114,UDLW12001,6,13
0,0,,14,1,0,   21.67,0,UDLW12,,,1,0,UDLW12001,1,13
2,2,,8,7,0,   24.27,2,UDLW12,,,3,103,UDLW12001,7,13
150,70,,155,133,6,   14.33,1,UDLW12,,,109,110,UDLW12001,79,13
0,5,,25,15,0,   19.71,0,UDLW12,,,3,98,UDLW12001,7,
2,3,,17,3,0,   17.34,1,UDLW12,,,1,49,UDLW12001,3,13
1,8,,54,27,0,   13.59,1,UDLW12,,,30,119,UDLW12001,15,13
3,8,,77,16,0,   14.33,1,UDLW12,,,10,108,UDLW12001,8,13
78,7,,81,14,0,   18.75,3,UDLW12,,,12,123,UDLW12001,11,13
13,18,,93,37,0,   20.19,3,UDLW12,,,85,94,UDLW12001,26,13
16,8,,17,13,0,   14.33,3,UDLW12,,,7,92,UDLW12001,9,
100,4,,102,8,0,    8.99,1,UDLW12,,,27,91,UDLW12001,7,
10,0,,11,1,0,   19.04,1,UDLW12,,,1,0,UDLW12001,1,
200,117,,500,236,7,   14.90,1,UDLW12,,3,123,72,UDLW12001,117,37
0,2,,2,3,0,   14.42,0,UDLW12,,,2,62,UDLW12002,3,
2,5,,7,6,0,   16.35,2,UDLW12,,,5,66,UDLW12002,6,
15,11,,103,26,0,   18.17,4,UDLW12,,,1,114,UDLW12002,14,
50,1,,69,2,0,   13.37,1,UDLW12,,,5,88,UDLW12002,2,
134,9,,150,20,0,   10.48,2,UDLW12,,,35,124,UDLW12002,14,
18,11,,137,24,0,   18.17,4,UDLW12,,,3,89,UDLW12002,11,
1,4,,4,4,0,   15.89,1,UDLW12,,,3,76,UDLW12002,4,
0,81,,400,271,6,   11.54,0,UDLW12,,,218,111,UDLW12002,86,24
0,82,,600,260,6,   30.77,0,UDLW12,,,195,111,UDLW12002,86,
300,71,,450,181,6,   15.63,2,UDLW12,,3,252,109,UDLW12002,81,
0,53,,400,161,7,   11.54,0,UDLW12,,3,54,93,UDLW12002,58,24
0,70,,300,182,8,   27.88,0,UDLW12,,3,109,63,UDLW12002,70,24
209,70,,221,142,6,    9.52,3,UDLW12,,,55,122,UDLW12003,77,95
158,66,,201,133,6,   14.33,2,UDLW12,,,77,117,UDLW12003,71,95
63,8,,80,13,0,   22.02,3,UDLW12,95,,3,122,UDLW12003,11,13
61,7,,72,14,0,   10.48,2,UDLW12,,,20,116,UDLW12003,12,
0,74,,250,158,6,   17.21,0,UDLW12,,3,96,108,UDLW12003,78,
0,81,,300,214,6,   13.46,0,UDLW12,,,107,110,UDLW12003,85,
100,83,,400,215,6,   13.32,1,UDLW12,,,247,111,UDLW12003,89,
0,63,,500,190,0,   18.27,0,UDLW12,,3,167,95,UDLW12003,64,95
10,2,,11,5,0,   18.75,1,UDLW12,,,5,101,UDLW12004,5,33
0,1,,4,2,0,   20.19,0,UDLW12,,,2,101,UDLW12004,2,119
0,2,,11,3,0,   15.48,0,UDLW12,,,1,94,UDLW12004,3,
1,2,,14,5,0,   12.71,1,UDLW12,,,3,93,UDLW12005,4,31
51,2,,55,5,0,   12.71,2,UDLW12,,,2,83,UDLW12005,4,31
0,2,,9,4,0,    9.24,0,UDLW12,,,8,58,UDLW12005,3,31
0,6,,43,19,0,    9.83,0,UDLW12,,,5,101,UDLW12005,8,31
11,8,,47,19,0,    9.24,2,UDLW12,,,8,93,UDLW12005,9,31
50,3,,56,8,0,    9.83,1,UDLW12,,,17,111,UDLW12005,6,31
40,3,,47,8,0,    8.38,1,UDLW12,,,35,113,UDLW12005,6,31
0,6,,49,15,0,   13.59,0,UDLW12,,,2,89,UDLW12005,7,31
2,3,,9,7,0,   13.59,1,UDLW12,,,6,114,UDLW12005,4,31
45,5,,46,16,0,   10.69,2,UDLW12,,,31,87,UDLW12005,8,31
10,2,,17,3,0,    8.38,1,UDLW12,,,4,102,UDLW12005,3,31
1,5,,59,18,0,   20.19,1,UDLW12,,,6,115,UDLW12005,9,31
30,2,,43,5,0,    9.24,1,UDLW12,,,0,108,UDLW12005,4,31
0,1,,18,1,0,   20.81,0,UDLW12,,,1,0,UDLW12005,1,31
0,4,,52,13,0,   12.13,0,UDLW12,,,1,89,UDLW12005,5,31
50,1,,60,5,0,    7.22,1,UDLW12,,,4,83,UDLW12005,4,31
0,6,,56,15,0,   10.98,0,UDLW12,,,2,89,UDLW12005,7,31
31,4,,43,4,0,    7.22,2,UDLW12,,,2,33,UDLW12005,4,31
0,2,,14,6,0,   17.34,0,UDLW12,,,8,112,UDLW12005,4,31
42,5,,57,10,0,   15.29,2,UDLW12,,,24,92,UDLW12005,9,31
2,3,,3,4,0,   14.45,1,UDLW12,,,1,18,UDLW12005,3,31
0,6,,27,14,0,    9.24,0,UDLW12,,,1,89,UDLW12005,6,
0,1,,5,1,0,    8.38,0,UDLW12,,,1,29,UDLW12005,1,31
0,4,,50,11,0,   13.46,0,UDLW12,,,46,111,UDLW12005,8,
20,6,,50,24,0,    9.23,1,UDLW12,,,48,87,UDLW12005,9,31
1,7,,36,18,0,   20.22,1,UDLW12,,,3,89,UDLW12006,9,24
0,0,,11,3,0,    9.13,0,UDLW12,,,9,48,UDLW12006,3,24
4,6,,51,16,0,   11.56,3,UDLW12,,,3,120,UDLW12006,7,24
3,2,,21,5,0,   12.42,2,UDLW12,,,3,120,UDLW12006,4,24
2,6,,16,11,0,   16.76,2,UDLW12,,,12,120,UDLW12006,11,24
0,2,,18,3,0,   17.34,0,UDLW12,,,2,38,UDLW12007,3,13
0,2,,9,3,0,   12.26,0,UDLW12,,,2,38,UDLW12007,3,13
0,1,,12,2,0,    9.13,0,UDLW12,,,2,12,UDLW12007,2,13
0,5,,32,14,0,   12.98,0,UDLW12,,,3,89,UDLW12007,6,8
3,2,,14,3,0,   12.40,1,UDLW12,,,2,38,UDLW12007,3,8
0,1,,10,2,0,   11.54,0,UDLW12,,,5,38,UDLW12007,2,8
0,3,,9,7,0,   10.10,0,UDLW12,,,7,110,UDLW12008,7,14
1,6,,11,9,0,   18.17,1,UDLW12,,,9,121,UDLW12008,8,
0,0,,4,1,0,   15.03,0,UDLW12,,,1,0,UDLW12008,1,
0,3,,10,4,0,   13.37,0,UDLW12,,,9,61,UDLW12009,3,13
0,6,,9,6,0,   11.06,0,UDLW12,,,6,47,UDLW12009,6,13
0,6,,15,14,0,    9.52,0,UDLW12,,,2,84,UDLW12009,6,
0,2,,16,4,0,   11.44,0,UDLW12,,,4,111,UDLW12009,4,
0,2,,13,4,0,   11.44,0,UDLW12,,,2,115,UDLW12009,4,
20,3,,22,7,0,   17.21,1,UDLW12,,,10,109,UDLW12009,7,
0,1,,9,2,0,   18.27,0,UDLW12,,,3,109,UDLW12010,2,
0,3,,3,3,0,   15.38,0,UDLW12,,,2,85,UDLW12011,3,
0,5,,3,5,0,   15.38,0,UDLW12,,,2,44,UDLW12011,5,33
0,1,,14,1,0,   10.10,0,UDLW12,,,1,44,UDLW12011,1,
0,1,,1,1,0,   13.59,0,UDLW12,,,1,45,UDLW12013,1,
0,2,,2,2,0,   12.13,0,UDLW12,,,1,44,UDLW12014,2,
0,1,,5,5,0,   10.98,0,UDLW12,,,1,62,UDLW12014,1,
0,4,,50,10,0,   11.54,0,UDLW12,,,39,110,UDLW12015,5,
0,45,,200,95,7,   11.54,0,UDLW12,,3,28,93,UDLW12016,47,815
0,45,,200,88,7,   19.23,0,UDLW12,,3,33,84,UDLW12016,46,815
0,78,,1000,509,6,   48.08,0,UDLW13,,2,262,141,UDLW13001,91,541
0,184,96,1930,1012,6,   19.23,0,UDLW14,119,3,382,138,UDLW14001,192,1112
0,144,,1920,838,6,   16.35,0,UDLW14,,3,60,137,UDLW14001,147,119
0,90,,915,441,7,   19.23,0,UDLW14,,3,177,93,UDLW14001,91,13
